ID_REF,mean_PE,mean_Control,t,pval,pval_mwu,log2FC,padj,padj_mwu,neg_log10_padj,symbol,probe_start
ILMN_1761314,6.56721646170713,6.593185322116229,-0.46974596047975503,0.6466797376547051,0.7723374412927805,-0.025968860409099292,0.8272994316252686,0.8913439817934403,0.08233727404334218,NFS1,348.0
ILMN_1740609,6.6258707914572375,6.650522094870872,-0.47268996126364754,0.6468298741886306,0.9538571530616036,-0.024651303413634196,0.8273091265234158,0.9790822191642486,0.08233218469366217,CCL15,997.0
ILMN_1655710,9.958737762211744,9.870911811272592,0.4693626970510144,0.6469574741516694,0.6854434826775221,0.08782595093915191,0.8274183381734876,0.841815645611661,0.08227485801230042,LOC642989,222.0
ILMN_1716973,6.737217550690489,6.754500114981454,-0.4690166062868583,0.6470397431947351,0.6854434826775221,-0.017282564290964864,0.8274575551300066,0.841815645611661,0.08225427434450353,POLM,2288.0
ILMN_2206151,6.60391372600066,6.587584165639204,0.471599058250991,0.6470725679828959,0.6854434826775221,0.01632956036145572,0.8274575551300066,0.841815645611661,0.08225427434450353,NEDD1,1967.0
ILMN_1669177,6.717040661627051,6.740684275583637,-0.468438191244178,0.6472537328694847,0.5244497218060843,-0.023643613956585874,0.8276266546122572,0.7388585493510428,0.08216553085718444,DHRS12,621.0
ILMN_1833376,6.6773808113376925,6.660179243324083,0.4698370362096952,0.6472892513242131,0.6025243523612969,0.017201568013609503,0.8276266546122572,0.7923569158425884,0.08216553085718444,,389.0
ILMN_2342121,6.8859500514938015,6.913574887402652,-0.4682679381333758,0.64767063830344,0.5244497218060843,-0.027624835908850898,0.8276469193147338,0.7388585493510428,0.08215489714853098,PSMD13,1104.0
ILMN_2098437,7.265757690908775,7.3024336580824585,-0.4681717235813693,0.6474883909134458,0.7723374412927805,-0.036675967173683155,0.8276469193147338,0.8913439817934403,0.08215489714853098,FAM10A4,827.0
ILMN_2406132,12.972691545706315,12.88462706596693,0.46805919747035424,0.6474934342314876,0.3854182323682295,0.08806447973938525,0.8276469193147338,0.6296535066385786,0.08215489714853098,LILRB3,2345.0
ILMN_2344850,10.22072101899048,10.183097820303967,0.467783532262064,0.6476851229717209,0.6854434826775221,0.03762319868651254,0.8276469193147338,0.841815645611661,0.08215489714853098,VPS26A,2298.0
ILMN_1688780,10.612663955405669,10.814894109774034,-0.47244461059781645,0.6476204970732796,0.3854182323682295,-0.20223015436836533,0.8276469193147338,0.6296535066385786,0.08215489714853098,S100A4,2.0
ILMN_3294106,12.312737390980073,12.191446918188728,0.46831265460044375,0.647381749979324,0.5244497218060843,0.12129047279134575,0.8276469193147338,0.7388585493510428,0.08215489714853098,LOC100190938,1383.0
ILMN_1667813,12.235937000800503,12.293939929635894,-0.4683029229462452,0.6475744587532049,0.9077042755157405,-0.05800292883539093,0.8276469193147338,0.9790822191642486,0.08215489714853098,LOC648000,258.0
ILMN_1849997,6.560982547796473,6.575319335875072,-0.46975415108569374,0.6476781618775946,0.45191345827907314,-0.01433678807859895,0.8276469193147338,0.6836952528348342,0.08215489714853098,,1762.0
ILMN_2316778,6.831708906175686,6.813680639129912,0.46785236352265724,0.6476410947742851,0.6025243523612969,0.018028267045774093,0.8276469193147338,0.7923569158425884,0.08215489714853098,ETNK1,557.0
ILMN_1753008,7.318101313503334,7.280526935913171,0.4698915034167862,0.6479219161339391,0.9538571530616036,0.03757437759016291,0.827787607752662,0.9790822191642486,0.08208107941498985,REXO1,4517.0
ILMN_1815083,6.9088096655333455,6.890918185747684,0.47102011738707034,0.6478563252387104,0.9538571530616036,0.017891479785661524,0.827787607752662,0.9790822191642486,0.08208107941498985,WHSC2,1991.0
ILMN_1801403,7.814397173454163,7.770483666110455,0.46805381375306326,0.6478912761069373,0.6854434826775221,0.04391350734370736,0.827787607752662,0.841815645611661,0.08208107941498985,DCUN1D4,3991.0
ILMN_1854833,7.191420931160416,7.21916120370811,-0.46894115219700166,0.6480543434255176,0.8621866944007625,-0.0277402725476934,0.8278488780946018,0.9359096969014423,0.08204893543695072,,2170.0
ILMN_1749540,6.863576437878434,6.901310254224762,-0.46743010676454044,0.6480302284911451,0.5244497218060843,-0.037733816346327664,0.8278488780946018,0.7388585493510428,0.08204893543695072,RBM20,6817.0
ILMN_2358069,6.682835902143268,6.658431630758623,0.4697981824692835,0.6481521119000563,0.6025243523612969,0.02440427138464507,0.8279198139689151,0.7923569158425884,0.08201172364649985,MAD1L1,2166.0
ILMN_1695991,6.739085509493949,6.713891714885688,0.4772730202756949,0.6482854445744065,0.6025243523612969,0.025193794608260767,0.8279822114486832,0.7923569158425884,0.0819789935927348,COLQ,2430.0
ILMN_3234384,7.085504769709214,7.026184782297518,0.46781958523452843,0.64826098313567,0.3854182323682295,0.05931998741169586,0.8279822114486832,0.6296535066385786,0.0819789935927348,LOC728953,540.0
ILMN_2382354,8.50906572873784,8.4323565538209,0.46674914351860974,0.6485095373742182,0.7723374412927805,0.07670917491693885,0.828214454135526,0.8913439817934403,0.08185719438843111,SENP7,4372.0
ILMN_1722059,8.425443036570801,8.471928524184886,-0.4706270855193259,0.648560369024984,0.3252709799742125,-0.046485487614084775,0.8282254083822211,0.5807119481259257,0.08185145029955612,SAFB,2764.0
ILMN_1747271,6.56623274411054,6.587041082921879,-0.47480189584772153,0.6486222479566068,0.8621866944007625,-0.02080833881133959,0.8282504678955994,0.9359096969014423,0.08183831010411344,ATP1B2,2998.0
ILMN_1793508,7.531706371473175,7.502906436196045,0.46599255297781544,0.6489798274821222,0.45191345827907314,0.028799935277129762,0.8286039627491848,0.6836952528348342,0.08165299404522107,C7orf36,563.0
ILMN_1875096,6.844810143622598,6.901693940717008,-0.46619765255592766,0.6490258986831404,0.6025243523612969,-0.05688379709441005,0.8286039627491848,0.7923569158425884,0.08165299404522107,,3030.0
ILMN_1742547,7.6125077824220995,7.662316950907348,-0.46607240410824824,0.6489905621436458,0.5244497218060843,-0.049809168485248634,0.8286039627491848,0.7388585493510428,0.08165299404522107,NRP1,1848.0
ILMN_1720889,8.24934807395405,8.32062001614827,-0.4720719127841959,0.6492425456844377,1.0,-0.07127194219422073,0.8288055113032711,1.0,0.08154736966370635,SC4MOL,1548.0
ILMN_2201966,7.268077590873594,7.244305365771598,0.4705968976984607,0.6492683345779158,0.5244497218060843,0.023772225101996725,0.8288055113032711,0.7388585493510428,0.08154736966370635,N4BP1,6904.0
ILMN_2299612,8.885764932917269,8.952654737118122,-0.46610392450893645,0.6493914917692291,0.9538571530616036,-0.06688980420085322,0.8288547652646128,0.9790822191642486,0.08152156133140662,TMEM150A,1420.0
ILMN_1765704,6.923880914969433,6.904815335144251,0.4706502550751624,0.6493564091638873,0.6854434826775221,0.019065579825181977,0.8288547652646128,0.841815645611661,0.08152156133140662,CDC2L1,1761.0
ILMN_1725121,9.418040516771267,9.377371531791152,0.4652712092730064,0.6495030493937792,0.6025243523612969,0.0406689849801154,0.8289144611576917,0.7923569158425884,0.08149028364021235,XPO1,4391.0
ILMN_1789418,6.646502956478115,6.6766825975886865,-0.4651968357174986,0.6495228411265235,0.6025243523612969,-0.030179641110571254,0.8289144611576917,0.7923569158425884,0.08149028364021235,GSTT2,328.0
ILMN_1692100,6.857453580259074,6.8773269583106975,-0.46507156414388057,0.6496434405991505,0.9538571530616036,-0.01987337805162337,0.8289441343202946,0.9790822191642486,0.0814747372108419,ZNF35,2453.0
ILMN_1785191,7.637595297857025,7.561897513899112,0.4651902075045565,0.6496729652277111,0.6854434826775221,0.0756977839579136,0.8289441343202946,0.841815645611661,0.0814747372108419,TMEM14A,290.0
ILMN_3262876,6.5561331708639505,6.56953529210597,-0.46510025790018716,0.6496700593496509,0.8621866944007625,-0.013402121242019227,0.8289441343202946,0.9359096969014423,0.0814747372108419,LOC100128002,87.0
ILMN_1764261,6.663452451544263,6.678618636093748,-0.4649199260429228,0.6497989182328676,0.6854434826775221,-0.015166184549484818,0.8289969146239546,0.841815645611661,0.08144708581195159,TMEM128,1098.0
ILMN_1665066,7.8372839193385575,7.874142933598067,-0.4647929572568974,0.6497709220563491,0.9538571530616036,-0.03685901425950977,0.8289969146239546,0.9790822191642486,0.08144708581195159,C4orf14,1998.0
ILMN_3182069,6.684212719200842,6.658479603024953,0.46454761653473614,0.6499919382239908,0.9538571530616036,0.02573311617588825,0.8291891949969701,0.9790822191642486,0.08134636574817988,LOC100129697,1126.0
ILMN_1856039,6.590532072766312,6.6072977852477175,-0.4645737546699969,0.6500708919542139,0.6854434826775221,-0.016765712481405792,0.8292359464528534,0.841815645611661,0.08132187998899912,,197.0
